list_name,name,label,dzongkhag,gewog
dzongkhag,D01,D01 Trashigang,D,
dzongkhag,D02,D02 Trashiyangtse,D,
dzongkhag,D03,D03 Mongar,D,
dzongkhag,D04,D04 Lhuentse,D,
dzongkhag,D05,D05 Pemagatshel,D,
dzongkhag,D06,D06 Samdrup Jongkhar,D,
dzongkhag,D07,D07 Zhemgang,D,
dzongkhag,D08,D08 Bumthang,D,
dzongkhag,D09,D09 Trongsa,D,
dzongkhag,D10,D10 Wangdue,D,
dzongkhag,D11,D11 Punakha,D,
dzongkhag,D12,D12 Gasa,D,
dzongkhag,D13,D13 Dagana,D,
dzongkhag,D14,D14 Tsirang,D,
dzongkhag,D15,D15 Chhukha,D,
dzongkhag,D16,D16 Thimphu,D,
dzongkhag,D17,D17 Paro,D,
dzongkhag,D18,D18 Haa,D,
dzongkhag,D19,D19 Sarpang,D,
dzongkhag,D20,D20 Samtse,D,
gewog,D01G01,G01 Shongphu,D01,
gewog,D01G02,G02 Samkhar,D01,
gewog,D01G03,G03 Kanglung,D01,
gewog,D01G04,G04 Khaling,D01,
gewog,D01G05,G05 Lumang,D01,
gewog,D01G06,G06 Thrimshing,D01,
gewog,D01G07,G07 Yangneer,D01,
gewog,D01G08,G08 Radhi,D01,
gewog,D01G09,G09 Phongmey,D01,
gewog,D01G10,G10 Bartsam,D01,
gewog,D01G11,G11 Bidung,D01,
gewog,D01G12,G12 Uzorong,D01,
gewog,D01G13,G13 Kangpara,D01,
gewog,D01G14,G14 Merak,D01,
gewog,D01G15,G15 Sakteng,D01,
gewog,D02G01,G01 Yangtse,D02,
gewog,D02G02,G02 Khamdrang,D02,
gewog,D02G03,G03 Tomzhang,D02,
gewog,D02G04,G04 Jamkhar,D02,
gewog,D02G05,G05 Ramjar,D02,
gewog,D02G06,G06 Bumdeling,D02,
gewog,D02G07,G07 Yalang,D02,
gewog,D02G08,G08 Teotsho,D02,
gewog,D03G01,G01 Shermung1,D03,
gewog,D03G02,G02 Tsakaling,D03,
gewog,D03G03,G03 Chali,D03,
gewog,D03G04,G04 Tsamang,D03,
gewog,D03G05,G05 Balam,D03,
gewog,D03G06,G06 Narang,D03,
gewog,D03G07,G07 Drametse,D03,
gewog,D03G08,G08 Ngatsang,D03,
gewog,D03G09,G09 Chaskar,D03,
gewog,D03G10,G10 Thangrong,D03,
gewog,D03G11,G11 Drepong,D03,
gewog,D03G12,G12 Saling,D03,
gewog,D03G13,G13 Mongar,D03,
gewog,D03G14,G14 Kengkhar,D03,
gewog,D03G15,G15 Silambi,D03,
gewog,D03G16,G16 Jurmey,D03,
gewog,D03G17,G17 Gongdue,D03,
gewog,D04G01,G01 Menbee,D04,
gewog,D04G02,G02 Tshenkhar,D04,
gewog,D04G03,G03 Dungkhar,D04,
gewog,D04G04,G04 Gangzur,D04,
gewog,D04G05,G05 Jaray,D04,
gewog,D04G06,G06 Khoma,D04,
gewog,D04G07,G07 Minjay,D04,
gewog,D04G08,G08 Metsho,D04,
gewog,D04G09,G09 Kurtoe,D04,
gewog,D05G01,G01 Zobel,D05,
gewog,D05G02,G02 Khar,D05,
gewog,D05G03,G03 Yurung,D05,
gewog,D05G04,G04 Nanong,D05,
gewog,D05G05,G05 Shumar,D05,
gewog,D05G06,G06 Chongshing,D05,
gewog,D05G07,G07 Dungmin,D05,
gewog,D05G08,G08  Chhimoong,D05,
gewog,D06G01,G01 Gomdar,D06,
gewog,D06G02,G02 Wongphu,D06,
gewog,D06G03,G03 Martshala,D06,
gewog,D06G04,G04 Orong,D06,
gewog,D06G05,G05 Serthi,D06,
gewog,D06G06,G06 Lauri,D06,
gewog,D06G07,G07 Pemathang,D06,
gewog,D07G01,G01 Trong,D07,
gewog,D07G02,G02 Nangkhor,D07,
gewog,D07G03,G03 Shingkhar,D07,
gewog,D07G04,G04 Bardo,D07,
gewog,D07G05,G05 Phangkha,D07,
gewog,D08G01,G01 Chhokhor,D08,
gewog,D08G02,G02 Chamkhar Town,D08,
gewog,D08G03,G03 Tang,D08,
gewog,D08G04,G04 Ura,D08,
gewog,D08G05,G05 Chumey,D08,
gewog,D09G01,G01 Tangsibjee,D09,
gewog,D09G02,G02 Nubi,D09,
gewog,D09G03,G03 Drakteng,D09,
gewog,D09G04,G04 Langthel,D09,
gewog,D09G05,G05 Korphu,D09,
gewog,D10G01,G01 Sephu,D10,
gewog,D10G02,G02 Phobji,D10,
gewog,D10G03,G03 Gangtey,D10,
gewog,D10G04,G04 Dangchu,D10,
gewog,D10G05,G05 Nisho,D10,
gewog,D10G06,G06 Kazhi,D10,
gewog,D10G07,G07 Nahi,D10,
gewog,D10G08,G08 Bjena,D10,
gewog,D10G09,G09 Daga,D10,
gewog,D10G10,G10 Athang,D10,
gewog,D10G11,G11 Gase Tshogom,D10,
gewog,D10G12,G12 Gase Tshowom,D10,
