list_name,name,label,dzongkhag,gewog
dzongkhag,D01,D01 Trashigang,,
dzongkhag,D02,D02 Trashiyangtse,,
dzongkhag,D03,D03 Mongar,,
dzongkhag,D04,D04 Lhuentse,,
dzongkhag,D05,D05 Pemagatshel,,
dzongkhag,D06,D06 Samdrup Jongkhar,,
dzongkhag,D07,D07 Zhemgang,,
dzongkhag,D08,D08 Bumthang,,
dzongkhag,D09,D09 Trongsa,,
dzongkhag,D10,D10 Wangdue,,
dzongkhag,D11,D11 Punakha,,
dzongkhag,D12,D12 Gasa,,
dzongkhag,D13,D13 Dagana,,
dzongkhag,D14,D14 Tsirang,,
dzongkhag,D15,D15 Chhukha,,
gewog,D01G01,G01 Shongphu,D01,
gewog,D01G02,G02 Samkhar,D01,
gewog,D01G03,G03 Kanglung,D01,
gewog,D01G04,G04 Khaling,D01,
gewog,D01G05,G05 Lumang,D01,
gewog,D01G06,G06 Thrimshing,D01,
gewog,D01G07,G07 Yangneer,D01,
gewog,D01G08,G08 Radhi,D01,
gewog,D01G09,G09 Phongmey,D01,
gewog,D01G10,G10 Bartsam,D01,
gewog,D01G11,G11 Bidung,D01,
gewog,D01G12,G12 Uzorong,D01,
gewog,D01G13,G13 Kangpara,D01,
gewog,D01G14,G14 Merak,D01,
gewog,D02G01,G01 Yangtse,D02,
gewog,D02G02,G02 Khamdrang,D02,
gewog,D02G03,G03 Tomzhang,D02,
gewog,D02G04,G04 Jamkhar,D02,
gewog,D02G05,G05 Ramjar,D02,
gewog,D02G06,G06 Bumdeling,D02,
gewog,D02G07,G07 Yalang,D02,
gewog,D02G08,G08 Teotsho,D02,
gewog,D03G01,G01 Shermung1,D03,
gewog,D03G02,G02 Tsakaling,D03,
gewog,D03G03,G03 Chali,D03,
gewog,D03G04,G04 Tsamang,D03,
gewog,D03G05,G05 Balam,D03,
gewog,D03G06,G06 Narang,D03,
gewog,D03G07,G07 Drametse,D03,
gewog,D03G08,G08 Ngatsang,D03,
gewog,D03G09,G09 Chaskar,D03,
gewog,D03G10,G10 Thangrong,D03,
